Name,Type,Efficiency Rating,Wattage,Modular,Color,Rating,Price,image_url
Asus TUF Gaming 1000G (9),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,ColorBlack,(9),€179.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/06eac4dd425e5a1d1e70735068c47072.256p.jpg
Lian Li EDGE (7),TypeATX,Efficiency Rating80+ Platinum,Wattage1300 W,ModularFull,ColorBlack,(7),€243.71Add,https://cdna.pcpartpicker.com/static/forever/images/product/29833e8353ae67f63a7df509ec4a6367.256p.jpg
Raidmax Cobra (1),TypeATX,Efficiency Rating80+ Gold,Wattage650 W,ModularFull,ColorBlack,(1),Add,/static/forever/img/no-image.png
Gigabyte P750GM (33),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(33),€92.80Add,https://m.media-amazon.com/images/I/41fF-4VeSsL.jpg
Lian Li EDGE GOLD (9),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,ColorWhite,(9),€155.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/6cd392c0ddcb76b70bdf0b6ed14e34ca.256p.jpg
Cooler Master MWE Gold V3 (1),TypeATX,Efficiency Rating80+ Gold,Wattage650 W,ModularNo,ColorBlack,(1),€82.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/d839175b272fa3a5f76a7844a79a05f4.256p.jpg
Corsair RM850 (84),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorWhite / Black,(84),Add,https://cdna.pcpartpicker.com/static/forever/images/product/1752baa3ddb162df098cf33b0b6eeae3.256p.jpg
Corsair CX (2023) (9),TypeATX,Efficiency Rating80+ Bronze,Wattage750 W,ModularNo,ColorBlack,(9),€69.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/a13b3baedca8b58d4ce5008b7bf5d357.256p.jpg
Gigabyte UD750GM PG5 V2 (0),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(0),€85.84Add,https://cdna.pcpartpicker.com/static/forever/images/product/fa5799a3aa935df6c0a31b203ecd0274.256p.jpg
MSI MEG Ai1600T PCIE5 (2),TypeATX,Efficiency Rating80+ Titanium,Wattage1600 W,ModularFull,ColorBlack / Gold,(2),€615.88Add,https://cdna.pcpartpicker.com/static/forever/images/product/a11eb27dffbe9026f93a731822e5356b.256p.jpg
NZXT C850 (2024) (10),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(10),Out of stock€145.10Add,https://cdna.pcpartpicker.com/static/forever/images/product/c0060ae80a7b71686da1ca92324d0f68.256p.jpg
be quiet! Dark Power 14 (0),TypeATX,Efficiency Rating80+ Titanium,Wattage1200 W,ModularFull,ColorBlack,(0),€280.32Add,https://cdna.pcpartpicker.com/static/forever/images/product/9692c03fcb71660f815bb8dc783228d6.256p.jpg
ASRock PRO-750G (0),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularNo,ColorBlack,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/92cde86bd2c8f3dda107e2543b58e9d0.256p.jpg
ASRock Steel Legend SL-850G (1),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(1),€125.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/32248606cf6d469a056d08373860c535.256p.jpg
Gigabyte UD750GM PG5 V2 (0),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorWhite,(0),€85.84Add,https://cdna.pcpartpicker.com/static/forever/images/product/14e81eb15877d5ab721ba0d022fcaf45.256p.jpg
Rosewill VSB (3),TypeATX,Efficiency Rating80+ Bronze,Wattage650 W,ModularSemi,ColorBlack,(3),Add,https://cdna.pcpartpicker.com/static/forever/images/product/e12bec22ce3376a2356f504366ad1d8b.256p.jpg
Apevia Galaxy (3),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularSemi,ColorBlack,(3),Add,https://m.media-amazon.com/images/I/41nPDROdGZS.jpg
be quiet! Power Zone 2 (1),TypeATX,Efficiency Rating80+ Platinum,Wattage850 W,ModularFull,ColorBlack,(1),€142.54Add,https://cdna.pcpartpicker.com/static/forever/images/product/a2d7bd1f1791322949e2087a850997dd.256p.jpg
MSI MPG A850G PCIE5 (33),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(33),€141.50Add,https://cdna.pcpartpicker.com/static/forever/images/product/5bff625e69da1c7069c73f477b42ca41.256p.jpg
SeaSonic FOCUS GX (48),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(48),Add,https://cdna.pcpartpicker.com/static/forever/images/product/a39289b41b92d2d387a165aca1af3c9d.256p.jpg
Lian Li EDGE GOLD (8),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(8),Add,https://cdna.pcpartpicker.com/static/forever/images/product/9a5971cefd086b73cf477e550aed363a.256p.jpg
