Name,Fan RPM,Noise Level,Color,Radiator Size,Rating,Price,image_url
Corsair iCUE LINK H100i RGB (2),Fan RPM480 - 2400 RPM,Noise Level,ColorBlack,Radiator Size240 mm,(2),€204.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/0c018b979ff6fbae25436e7e64c5a140.256p.jpg
Lian Li Hydroshift II LCD-C TL (2),Fan RPM200 - 2600 RPM,Noise Level33 dB,ColorBlack,Radiator Size360 mm,(2),€203.94Add,https://cdna.pcpartpicker.com/static/forever/images/product/f4baa809d4e22a84a737996b649c6083.256p.jpg
Asus ROG Ryujin III ARGB Extreme (0),Fan RPM1 - 2800 RPM,Noise Level36 dB,ColorWhite,Radiator Size360 mm,(0),€379.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/aee12c51f52cb48a4bfda05ed02d8be2.256p.jpg
NZXT Kraken Z73 (91),Fan RPM500 - 1800 RPM,Noise Level21 - 36 dB,ColorBlack,Radiator Size360 mm,(91),Add,https://cdna.pcpartpicker.com/static/forever/images/product/26b8fd4167a7e43f82d73cae4c26d565.256p.jpg
Noctua NH-D15 G2 (6),Fan RPM1500 RPM,Noise Level24.8 dB,ColorBrown / Silver,Radiator Size,(6),€149.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/842c59679e64a6502bd922204c4d8a24.256p.jpg
Thermalright Peerless Assassin 120 White (15),Fan RPM1550 RPM,Noise Level25.6 dB,ColorWhite,Radiator Size,(15),Add,https://m.media-amazon.com/images/I/41Zo8GoB2GS.jpg
Lian Li Hydroshift II LCD-S 360 TL (1),Fan RPM200 - 2600 RPM,Noise Level33 dB,ColorBlack,Radiator Size360 mm,(1),€241.10Add,https://cdna.pcpartpicker.com/static/forever/images/product/6323ee881774ef2c3efc257d098a7567.256p.jpg
Thermalright Frozen Notte ARGB (8),Fan RPM2000 RPM,Noise Level27.7 dB,ColorWhite,Radiator Size240 mm,(8),€55.90Add,https://m.media-amazon.com/images/I/41wSywn6EZL.jpg
NZXT Kraken Plus 360 (0),Fan RPM500 - 2000 RPM,Noise Level30 dB,ColorBlack,Radiator Size360 mm,(0),€189.89Add,https://cdna.pcpartpicker.com/static/forever/images/product/9164251fa8f9916115a9d995362124a2.256p.jpg
Noctua NH-U12S chromax.black (127),Fan RPM300 - 1500 RPM,Noise Level18.6 - 22.4 dB,ColorBlack,Radiator Size,(127),€89.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/03d2c7690b9a62e9131a8514ea3c0dfa.256p.jpg
Thermalright AXP90-X47 (18),Fan RPM2700 RPM,Noise Level22.4 dB,ColorOrange / Brown,Radiator Size,(18),Add,https://m.media-amazon.com/images/I/51HeMe5HJmL.jpg
TRYX PANORAMA ARGB (2025) (2),Fan RPM500 - 1850 RPM,Noise Level28.87 dB,ColorWhite,Radiator Size360 mm,(2),€388.70Add,https://cdna.pcpartpicker.com/static/forever/images/product/ef79a48a8d4a7cf930a8040c72da25e3.256p.jpg
Deepcool AK620 ZERO DARK (41),Fan RPM500 - 1850 RPM,Noise Level28 dB,ColorBlack,Radiator Size,(41),€81.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/048ee8d7e1ab67674cc0aac0e4e0e281.256p.jpg
NZXT Kraken Elite 360 RGB (2024) (9),Fan RPM500 - 2400 RPM,Noise Level30 dB,ColorBlack,Radiator Size360 mm,(9),€329.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/3a6430ace600ed4d31970cfdc2bb856e.256p.jpg
Lian Li Hydroshift II LCD-C TL (3),Fan RPM200 - 2600 RPM,Noise Level33 dB,ColorWhite,Radiator Size360 mm,(3),€241.10Add,https://cdna.pcpartpicker.com/static/forever/images/product/16683cbcca9f17747a47760100f78d94.256p.jpg
Noctua NH-D15S chromax.black (69),Fan RPM300 - 1500 RPM,Noise Level19.2 - 24.6 dB,ColorBlack,Radiator Size,(69),€109.90Add,https://m.media-amazon.com/images/I/51wsVDm2ONL.jpg
ARCTIC Liquid Freezer III Pro (3),Fan RPM400 - 2500 RPM,Noise Level,ColorBlack,Radiator Size280 mm,(3),€84.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/e04055d053782012caa3bc582c97080c.256p.jpg
Thermalright Peerless Assassin 120 SE (12),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size,(12),€45.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/3afac8c21d56648a54bd054502c7eae2.256p.jpg
Thermalright AQUA ELITE ARGB V4 (1),Fan RPM1550 RPM,Noise Level25.6 dB,ColorWhite,Radiator Size360 mm,(1),Add,https://m.media-amazon.com/images/I/314UdcvKUiL.jpg
Thermalright Frozen Warframe ARGB (6),Fan RPM2000 RPM,Noise Level22.1 dB,ColorBlack,Radiator Size360 mm,(6),€97.03Add,https://cdna.pcpartpicker.com/static/forever/images/product/94d02a029c5cc15e833556f333836b67.256p.jpg
be quiet! Dark Rock 5 (4),Fan RPM2100 RPM,Noise Level11.9 - 29.8 dB,ColorBlack,Radiator Size,(4),€80.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/7b7e8cf40e763260dde7362ecc53ce5c.256p.jpg
Thermaltake Gravity i2 (8),Fan RPM1800 RPM,Noise Level21.3 dB,Color,Radiator Size,(8),€120.09Add,https://m.media-amazon.com/images/I/51r8krEyBZL.jpg
