Name,Type,Color,Power Supply,Side Panel,External Volume,"Internal 3.5"" Bays",Rating,Price,image_url
Antec NX200M (7),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume,"Internal 3.5"" Bays2",(7),€180.61Add,https://cdna.pcpartpicker.com/static/forever/images/product/b9f53fa6d3dedcf9f18c0cbf92d99cdf.256p.jpg
Asus ROG Strix Helios (15),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume83.5 L,"Internal 3.5"" Bays2",(15),€1587.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/7fb0b865a88be851eb7fdac685bf373c.256p.jpg
Lian Li O11 Dynamic EVO XL (3),TypeATX Full Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume84.4 L,"Internal 3.5"" Bays4",(3),€251.70Add,https://cdna.pcpartpicker.com/static/forever/images/product/dfc47937e6bd43628ec6ed2034d2e0ab.256p.jpg
Lian Li A4-H20 X4 (19),TypeMini ITX Desktop,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume11.1 L,"Internal 3.5"" Bays0",(19),€167.45Add,https://cdna.pcpartpicker.com/static/forever/images/product/5976fcee24c589859552a9f087690430.256p.jpg
Lian Li A3-mATX (7),TypeMicroATX Mini Tower,ColorWhite / Brown,Power SupplyNone,Side PanelTempered Glass,External Volume26.3 L,"Internal 3.5"" Bays1",(7),€73.44Add,https://cdna.pcpartpicker.com/static/forever/images/product/147f3c308af738ae654e7cd9361fb780.256p.jpg
NZXT H9 Flow RGB+ (2025) (4),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume76.7 L,"Internal 3.5"" Bays2",(4),€277.08Add,https://cdna.pcpartpicker.com/static/forever/images/product/463721369e4217261a778db8b67b118c.256p.jpg
Corsair 3000D AIRFLOW (7),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume49.5 L,"Internal 3.5"" Bays2",(7),€69.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/586841ed9160739668a55d1321c9494e.256p.jpg
NZXT H6 Flow RGB (17),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays1",(17),€115.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/21f390a2caf255ac942d9f4d4899adee.256p.jpg
Lian Li A3-mATX (10),TypeMicroATX Mini Tower,ColorWhite,Power SupplyNone,Side PanelMesh,External Volume26.3 L,"Internal 3.5"" Bays1",(10),€60.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/e7b318c275d53698549fbe3b03fbb76e.256p.jpg
Fractal Design North (48),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume45.1 L,"Internal 3.5"" Bays2",(48),€147.35Add,https://cdna.pcpartpicker.com/static/forever/images/product/b27a7e4bc53387580b31da81c7df34ab.256p.jpg
Deepcool CG530 4F (7),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Acrylic,External Volume50.0 L,"Internal 3.5"" Bays2",(7),€75.35Add,https://cdna.pcpartpicker.com/static/forever/images/product/5921b1e072b530264f56e87c6a954f93.256p.jpg
Zalman T6 Mini (0),TypeMicroATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelNone,External Volume18.6 L,"Internal 3.5"" Bays2",(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/e49abcd5702ab24afd90df323183fed1.256p.jpg
