Name,Chipset,Memory,Core Clock,Boost Clock,Color,Length,Rating,Price,image_url
Gigabyte EAGLE OC SFF (2),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2160 MHz,Boost Clock2587 MHz,ColorWhite,Length290 mm,(2),€708.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/a3192df075922ee3bd6fe1e04301b624.256p.jpg
ASRock Challenger (10),ChipsetRadeon RX 9070,Memory16 GB,Core Clock2070 MHz,Boost Clock2520 MHz,ColorBlack / Silver,Length290 mm,(10),€705.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/4b0008912e6c94054f947bf95256f000.256p.jpg
Gigabyte AORUS MASTER (8),ChipsetGeForce RTX 5090,Memory32 GB,Core Clock2010 MHz,Boost Clock2655 MHz,ColorWhite,Length360 mm,(8),€4250.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/3b48514507cb494a63445b44ad4592ec.256p.jpg
Gigabyte GAMING OC (0),ChipsetRadeon RX 9060 XT,Memory8 GB,Core Clock2220 MHz,Boost Clock3320 MHz,ColorBlack,Length281 mm,(0),€353.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/7cde8a4a65736da55a296019d97e3570.256p.jpg
Gigabyte WINDFORCE OC (0),ChipsetGeForce RTX 5060 Ti,Memory16 GB,Core Clock2410 MHz,Boost Clock2587 MHz,ColorBlack,Length208 mm,(0),€659.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/5828f649323d40bd3d3751c67e9cc31c.256p.jpg
Asus PRIME (8),ChipsetGeForce RTX 5080,Memory16 GB,Core Clock2300 MHz,Boost Clock,ColorBlack / White,Length306 mm,(8),Out of stock€1612.53Add,https://cdna.pcpartpicker.com/static/forever/images/product/d3b30a207c7d1f6425a742e9169a8ee0.256p.jpg
MSI VENTUS 2X PLUS OC (1),ChipsetGeForce RTX 5060 Ti,Memory8 GB,Core Clock2410 MHz,Boost Clock2617 MHz,ColorBlack / Gray,Length227 mm,(1),€439.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/448885cffd9a078d3cd0a6c8aa2305e6.256p.jpg
XFX GTS XXX (45),ChipsetRadeon RX 580,Memory8 GB,Core Clock1366 MHz,Boost Clock1386 MHz,ColorBlack / Red,Length270 mm,(45),Add,https://cdna.pcpartpicker.com/static/forever/images/product/7a8d66854d65f497aca573e84772d861.256p.jpg
PowerColor Reaper (4),ChipsetRadeon RX 9070,Memory16 GB,Core Clock2070 MHz,Boost Clock2520 MHz,ColorBlack,Length289 mm,(4),€655.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/ee430c2bbe34ba14fdf0378514f2bfdc.256p.jpg
MSI SHADOW 2X OC (0),ChipsetGeForce RTX 5050,Memory8 GB,Core Clock2317 MHz,Boost Clock2617 MHz,ColorBlack,Length197 mm,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/417ef0fca6cbb4b12abd9e23267e57dc.256p.jpg
