Name,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Rating,Price,image_url
Crucial Pro Overclocking 32 GB (51),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€12.499,ColorBlack,First Word Latency12 ns,CAS Latency36,(51),€399.98Add,https://cdna.pcpartpicker.com/static/forever/images/product/9fdbfba897aab27f8669458508239fe1.256p.jpg
Corsair Vengeance RGB 32 GB (96),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€15.031,ColorBlack,First Word Latency12 ns,CAS Latency36,(96),€480.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance LPX 32 GB (74),SpeedDDR4-3200,Modules2 x 16GB,Price / GB€4.840,ColorBlack / Yellow,First Word Latency10 ns,CAS Latency16,(74),€154.88Add,https://cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg
Corsair Vengeance LPX 16 GB (514),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€10.738,ColorBlack / Yellow,First Word Latency10 ns,CAS Latency16,(514),€171.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/835ab3efad1be13bbe53beef3e3c6f96.256p.jpg
G.Skill Flare X5 32 GB (114),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€15.703,ColorBlack,First Word Latency12 ns,CAS Latency36,(114),€502.51Add,https://cdna.pcpartpicker.com/static/forever/images/product/5bfb04d855b1e501d71ef7516d5c39f7.256p.jpg
Crucial Pro 32 GB (7),SpeedDDR5-5600,Modules2 x 16GB,Price / GB€15.493,ColorBlack,First Word Latency16.429 ns,CAS Latency46,(7),€495.79Add,https://cdna.pcpartpicker.com/static/forever/images/product/c62f5aa1d2d902523596f383c7946a7b.256p.jpg
Silicon Power GAMING 16 GB (67),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€10.624,ColorBlack / Gray,First Word Latency10 ns,CAS Latency16,(67),€169.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/62a4ba196f5f165e68619a63ef5d0b70.256p.jpg
Kingston FURY Beast 16 GB (10),SpeedDDR5-5200,Modules2 x 8GB,Price / GB€21.269,ColorBlack,First Word Latency15.385 ns,CAS Latency40,(10),€340.31Add,https://cdna.pcpartpicker.com/static/forever/images/product/547d30a3ba49dc763a8c23b28f7ac74b.256p.jpg
Corsair Vengeance RGB 64 GB (23),SpeedDDR5-6000,Modules2 x 32GB,Price / GB€18.577,ColorBlack,First Word Latency10 ns,CAS Latency30,(23),€1188.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/5cdd0dfcd25374317a12808fa7f63c19.256p.jpg
Kingston FURY Beast 32 GB (34),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€16.934,ColorBlack,First Word Latency10 ns,CAS Latency30,(34),€541.88Add,https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg
