Name,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Rating,Price,image_url
Kingston FURY Beast 8 GB (0),SpeedDDR5-5600,Modules1 x 8GB,Price / GB€21.738,ColorBlack,First Word Latency14.286 ns,CAS Latency40,(0),€173.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/76fe94a04b2e6ea4e02b506e537d02b5.256p.jpg
Kingston FURY Beast RGB 32 GB (9),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€20.684,ColorWhite,First Word Latency10 ns,CAS Latency30,(9),€661.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/97232484080d76f60c340829feff8fb4.256p.jpg
Corsair Vengeance LPX 32 GB (107),SpeedDDR4-3600,Modules2 x 16GB,Price / GB€10.531,ColorBlack / Yellow,First Word Latency10 ns,CAS Latency18,(107),€336.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/11742fd6eec55fde4e3ee3a79529a111.256p.jpg
Crucial CT2K16G48C40U5 32 GB (3),SpeedDDR5-4800,Modules2 x 16GB,Price / GB€19.965,ColorBlack,First Word Latency16.667 ns,CAS Latency40,(3),€638.88Add,https://cdna.pcpartpicker.com/static/forever/images/product/da4cecff7e3ebe77a577561a19a2d1c7.256p.jpg
Kingston FURY Beast RGB 32 GB (0),SpeedDDR5-6000,Modules2 x 16GB,Price / GB,ColorBlack,First Word Latency11.333 ns,CAS Latency34,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/da86891b02e878306315994a9a2734b7.256p.jpg
G.Skill Trident Z5 RGB 32 GB (52),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€16.715,ColorBlack,First Word Latency12 ns,CAS Latency36,(52),€534.88Add,https://cdna.pcpartpicker.com/static/forever/images/product/e8d573bd2eac864d427645f0d2f7cad8.256p.jpg
Corsair Vengeance LPX 16 GB (24),SpeedDDR4-3000,Modules2 x 8GB,Price / GB€9.863,ColorBlack,First Word Latency10.667 ns,CAS Latency16,(24),€157.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/e78fc3e747a9baeef9096ad8e0a66f2c.256p.jpg
Corsair Vengeance RGB 128 GB (0),SpeedDDR5-5600,Modules4 x 32GB,Price / GB€15.460,ColorBlack,First Word Latency14.286 ns,CAS Latency40,(0),€1978.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.256p.jpg
Silicon Power SP016GLLTU160N22 16 GB (2),SpeedDDR3-1600,Modules2 x 8GB,Price / GB,ColorGreen,First Word Latency13.75 ns,CAS Latency11,(2),Add,https://cdna.pcpartpicker.com/static/forever/images/product/03862fe576104a6e89282ca9a5bc8148.256p.jpg
Corsair Dominator Titanium 32 GB (12),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€20.093,ColorWhite,First Word Latency10 ns,CAS Latency30,(12),€642.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/d031b41e8948f8b9499ec37c6b33bd91.256p.jpg
Patriot Viper Venom 16 GB (1),SpeedDDR5-5600,Modules2 x 8GB,Price / GB€14.874,ColorBlack / White,First Word Latency14.286 ns,CAS Latency40,(1),€237.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/82182136c557a8b9975e956b58a558fa.256p.jpg
TEAMGROUP T-Force Vulcan Z 16 GB (5),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€10.275,ColorGray,First Word Latency10 ns,CAS Latency16,(5),€164.40Add,https://cdna.pcpartpicker.com/static/forever/images/product/b5f49ca344db13082af4de5bd070be2c.256p.jpg
Corsair Vengeance LPX 8 GB (47),SpeedDDR4-2400,Modules1 x 8GB,Price / GB€10.249,ColorBlack / Yellow,First Word Latency13.333 ns,CAS Latency16,(47),€81.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/ef1c9d46308283f227a0ba51e4179ff1.256p.jpg
