Name,Core Count,Performance Core Clock,Performance Core Boost Clock,Microarchitecture,TDP,Integrated Graphics,Rating,Price,image_url
Intel Core Ultra 5 245K (1),Core Count14,Performance Core Clock4.2 GHz,Performance Core Boost Clock5.2 GHz,MicroarchitectureArrow Lake,TDP125 W,Integrated GraphicsIntel Xe,(1),€207.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/1e9e70d03e7edd0274691d5f49a34a50.256p.jpg
AMD Ryzen 5 3400G (56),Core Count4,Performance Core Clock3.7 GHz,Performance Core Boost Clock4.2 GHz,MicroarchitectureZen+,TDP65 W,Integrated GraphicsRadeon Vega 11,(56),€65.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/43e2914b40ccb9ab7ce39eb656db3b44.256p.jpg
Intel Core i7-14700KF (17),Core Count20,Performance Core Clock3.4 GHz,Performance Core Boost Clock5.6 GHz,MicroarchitectureRaptor Lake Refresh,TDP125 W,Integrated GraphicsNone,(17),€343.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/92061d6108d4c4bf0deb77943506df11.256p.jpg
AMD Ryzen 9 7950X3D (73),Core Count16,Performance Core Clock4.2 GHz,Performance Core Boost Clock5.7 GHz,MicroarchitectureZen 4,TDP120 W,Integrated GraphicsRadeon,(73),€794.42Add,https://cdna.pcpartpicker.com/static/forever/images/product/4f8b13807b9b9e2ab921ddb6e6e81afb.256p.jpg
Intel Core i5-13400F (22),Core Count10,Performance Core Clock2.5 GHz,Performance Core Boost Clock4.6 GHz,MicroarchitectureRaptor Lake,TDP65 W,Integrated GraphicsNone,(22),€161.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/17d82d241bff0efdd1c32fbcf9822c14.256p.jpg
AMD Ryzen 9 5900XT (2),Core Count16,Performance Core Clock3.3 GHz,Performance Core Boost Clock4.8 GHz,MicroarchitectureZen 3,TDP105 W,Integrated GraphicsNone,(2),Out of stock€319.50Add,https://cdna.pcpartpicker.com/static/forever/images/product/36739b3a1511a7c493b2f987b43cd144.256p.jpg
Intel Core i9-12900KF (9),Core Count16,Performance Core Clock3.2 GHz,Performance Core Boost Clock5.2 GHz,MicroarchitectureAlder Lake,TDP125 W,Integrated GraphicsNone,(9),€294.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/c3d3a6843e0c0a5d98155e9fa68c092c.256p.jpg
AMD Ryzen 5 7500F (40),Core Count6,Performance Core Clock3.7 GHz,Performance Core Boost Clock5 GHz,MicroarchitectureZen 4,TDP65 W,Integrated GraphicsNone,(40),Add,https://cdna.pcpartpicker.com/static/forever/images/product/16ab7cbdba34490d23b883f1253ab148.256p.jpg
AMD Ryzen 7 8700G (3),Core Count8,Performance Core Clock4.2 GHz,Performance Core Boost Clock5.1 GHz,MicroarchitectureZen 4,TDP65 W,Integrated GraphicsRadeon 780M,(3),€284.39Add,https://cdna.pcpartpicker.com/static/forever/images/product/e5ca60dc2137886fac6e13e30aad8ed9.256p.jpg
Intel Core i7-8700K (306),Core Count6,Performance Core Clock3.7 GHz,Performance Core Boost Clock4.7 GHz,MicroarchitectureCoffee Lake,TDP95 W,Integrated GraphicsIntel UHD Graphics 630,(306),€282.16Add,https://cdna.pcpartpicker.com/static/forever/images/product/d7dea28613ac935e748d330d16ffea69.256p.jpg
