Name,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Rating,Price,image_url
Crucial P510 (3),Capacity2 TB,Price / GB€0.125,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(3),€249.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/d54a12ece6338a1a71ecaa145f58f616.256p.jpg
Samsung 980 Pro (344),Capacity2 TB,Price / GB€0.196,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(344),€391.33Add,https://cdna.pcpartpicker.com/static/forever/images/product/3b2a91588d1a28bfa1b0184fb7f1c0a1.256p.jpg
Samsung 870 Evo (36),Capacity2 TB,Price / GB€0.143,TypeSSD,Cache2048 MB,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(36),€286.15Add,https://cdna.pcpartpicker.com/static/forever/images/product/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg
Samsung 9100 PRO (10),Capacity1 TB,Price / GB€0.211,TypeSSD,Cache1024 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(10),€211.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/01ad6b516b12c519dfb76ed08a2a7ef3.256p.jpg
Seagate BarraCuda (255),Capacity1 TB,Price / GB€0.082,Type7200 RPM,Cache64 MB,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(255),€82.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/0f3ec8d968661b3bfc4a7250f78ec8a9.256p.jpg
Western Digital WD Blue SN5000 (7),Capacity2 TB,Price / GB€0.116,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(7),€231.09Add,https://cdna.pcpartpicker.com/static/forever/images/product/8b610f0ec032392a7b1007b5dbe0925d.256p.jpg
Crucial E100 (1),Capacity1 TB,Price / GB€0.133,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(1),€132.60Add,https://cdna.pcpartpicker.com/static/forever/images/product/72bbad5e69fa95e74103a3613c6dc1e9.256p.jpg
Samsung 990 EVO (19),Capacity2 TB,Price / GB€0.088,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X2,(19),€176.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/23a44aca951ebb3941da82243d5e9e20.256p.jpg
Samsung 870 Evo (21),Capacity4 TB,Price / GB€0.109,TypeSSD,Cache4096 MB,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(21),€434.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg
Crucial T705 (13),Capacity2 TB,Price / GB€0.119,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(13),€237.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/26411ed56b8f23776f841818083ed115.256p.jpg
ADATA LEGEND 860 (2),Capacity1 TB,Price / GB€0.173,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(2),€172.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/caa0126e94269529feefd20dacb980b9.256p.jpg
Western Digital Black SN770 (134),Capacity1 TB,Price / GB€0.208,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(134),€208.18Add,https://cdna.pcpartpicker.com/static/forever/images/product/8fcb88c883df1ee3563538df639a08c8.256p.jpg
Western Digital WD_Black SN850X (7),Capacity8 TB,Price / GB€0.160,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(7),€1278.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/0427e658396f37fc8e06723b42a4f7df.256p.jpg
MSI SPATIUM M461 (5),Capacity2 TB,Price / GB€0.150,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(5),€299.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/ea4bedfb41d590aa801cbbcd535ab039.256p.jpg
